"filename", "language", "TypeScript React", "TypeScript", "JSON", "Markdown", "JavaScript", "HTML", "CSS", "XML", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\emane\Desktop\App\Punto\src\views\CalendarioRegistrosInventario\CalendarioRegistrosInventario.tsx", "TypeScript React", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 148
"c:\Users\emane\Desktop\App\Punto\src\views\CalendarioRegistrosInventario\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\DetallesIntercambioPunto\DetallesIntercambioPunto.tsx", "TypeScript React", 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 11, 368
"c:\Users\emane\Desktop\App\Punto\src\views\DetallesIntercambioPunto\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\DetallesPagoPunto\DetallesPagoPunto.tsx", "TypeScript React", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 241
"c:\Users\emane\Desktop\App\Punto\src\views\DetallesPagoPunto\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\DetallesPlaza\DetallesPlaza.tsx", "TypeScript React", 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 478
"c:\Users\emane\Desktop\App\Punto\src\views\DetallesPlaza\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\DetallesVentaPunto\DetallesVentaPunto.tsx", "TypeScript React", 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 384
"c:\Users\emane\Desktop\App\Punto\src\views\DetallesVentaPunto\index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\Error401\Error401.tsx", "TypeScript React", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 67
"c:\Users\emane\Desktop\App\Punto\src\views\Error401\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\Error404\Error404.tsx", "TypeScript React", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\emane\Desktop\App\Punto\src\views\Error404\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\Error405\Error405.tsx", "TypeScript React", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\emane\Desktop\App\Punto\src\views\Error405\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\Impresoras\Impresoras.tsx", "TypeScript React", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 185
"c:\Users\emane\Desktop\App\Punto\src\views\Impresoras\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\Ingreso\Ingreso.tsx", "TypeScript React", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"c:\Users\emane\Desktop\App\Punto\src\views\Ingreso\components\LoginForm.tsx", "TypeScript React", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 220
"c:\Users\emane\Desktop\App\Punto\src\views\Ingreso\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\emane\Desktop\App\Punto\src\views\NuevoRegistroInventario\NuevoRegistroInventario.tsx", "TypeScript React", 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 325
"c:\Users\emane\Desktop\App\Punto\src\views\NuevoRegistroInventario\components\Resumen.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 62
"c:\Users\emane\Desktop\App\Punto\src\views\NuevoRegistroInventario\components\StepperForm.tsx", "TypeScript React", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 194
"c:\Users\emane\Desktop\App\Punto\src\views\NuevoRegistroInventario\components\Steps.tsx", "TypeScript React", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 114
